unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume
1640588400,12/27/2021 7:00,BTC/USD,50962.14,51005.64,50668.02,50723.68,20.54274774,1042003.763
1640584800,12/27/2021 6:00,BTC/USD,50886.82,50983.44,50765,50961.26,55.21476889,2813814.193
1640581200,12/27/2021 5:00,BTC/USD,51033.84,51054.91,50825.03,50890.52,51.95024751,2643775.11
1640577600,12/27/2021 4:00,BTC/USD,51041.06,51108.44,50836.91,51032.54,54.94269014,2803865.032
1640574000,12/27/2021 3:00,BTC/USD,50847.49,51158.76,50837.16,51031.24,30.73202001,1568293.089
1640570400,12/27/2021 2:00,BTC/USD,50806.72,50962.03,50714.82,50847.49,16.68842073,848564.3062
1640566800,12/27/2021 1:00,BTC/USD,50642.52,50833.61,50479.44,50833.61,24.09427018,1224798.734
1640563200,12/27/2021 0:00,BTC/USD,50885.32,51003.04,50601,50644.48,42.77538682,2166337.222
1640559600,12/26/2021 23:00,BTC/USD,50994.26,51095.69,50658.69,50791.21,36.90953419,1874679.902
1640556000,12/26/2021 22:00,BTC/USD,50843.22,51292.65,50819.3,51007.93,49.6096725,2530486.702
1640552400,12/26/2021 21:00,BTC/USD,50306.32,51064.75,49953.42,50823.01,108.7263171,5525798.703
1640548800,12/26/2021 20:00,BTC/USD,50406.23,50414.43,50301.71,50301.71,33.77624456,1699002.859
1640545200,12/26/2021 19:00,BTC/USD,50403.76,50495.74,50241.3,50381,15.14913363,763228.5014
1640541600,12/26/2021 18:00,BTC/USD,50292.46,50434.61,50180.42,50404.53,29.40542252,1482166.502
1640538000,12/26/2021 17:00,BTC/USD,50297.91,50412.8,50196.8,50290.26,20.12436659,1012059.628
1640534400,12/26/2021 16:00,BTC/USD,50096.07,50428.12,50083.45,50294.85,48.24418079,2426433.836
1640530800,12/26/2021 15:00,BTC/USD,49945.2,50301,49924.56,50096.02,48.64376676,2436859.112
1640527200,12/26/2021 14:00,BTC/USD,49881.11,49984.82,49768.73,49939.86,75.57090793,3774000.562
1640523600,12/26/2021 13:00,BTC/USD,49903.3,50005,49809.49,49860.49,15.89939812,792751.781
1640520000,12/26/2021 12:00,BTC/USD,49753.64,49996.45,49669.53,49908.34,36.14446208,1803910.103
1640516400,12/26/2021 11:00,BTC/USD,50118.86,50157.35,49458.85,49770,66.83117722,3326187.69
1640512800,12/26/2021 10:00,BTC/USD,50054.64,50129.72,49913.66,50113.83,46.70075021,2340353.457
1640509200,12/26/2021 9:00,BTC/USD,49915.5,50201.49,49871.37,50041.4,17.19413198,860418.4361
1640505600,12/26/2021 8:00,BTC/USD,49962.13,50135.53,49850.93,49920.77,26.87198149,1341470.007
1640502000,12/26/2021 7:00,BTC/USD,49926.06,49995.6,49748,49967.45,29.78425942,1488243.493
1640498400,12/26/2021 6:00,BTC/USD,49878.57,50004.7,49775,49939.79,36.28066643,1811848.863
1640494800,12/26/2021 5:00,BTC/USD,49888.19,50006.42,49842.61,49910.95,15.82819822,790000.4099
1640491200,12/26/2021 4:00,BTC/USD,49710.8,49918.97,49644.02,49912.68,30.17550004,1506140.077
1640487600,12/26/2021 3:00,BTC/USD,50058.57,50058.57,49651,49710.8,87.99647544,4374375.191
1640484000,12/26/2021 2:00,BTC/USD,50571,50602.7,49888,50072.49,89.31822849,4472386.103
1640480400,12/26/2021 1:00,BTC/USD,50410.27,50701.17,50350.16,50575.47,28.53609627,1443226.481
1640476800,12/26/2021 0:00,BTC/USD,50421.51,50606.92,50294.49,50429.85,21.50110265,1084297.381
1640473200,12/25/2021 23:00,BTC/USD,50620.14,50709.28,50378.19,50442.22,87.82051269,4429861.622
1640469600,12/25/2021 22:00,BTC/USD,50981.7,51005.09,50606.84,50641.26,43.19744131,2187572.857
1640466000,12/25/2021 21:00,BTC/USD,50905.59,51130.73,50838.85,50998.36,41.81100675,2132292.774
1640462400,12/25/2021 20:00,BTC/USD,50925.9,51020.67,50771,50902.53,10.90668571,555177.8966
1640458800,12/25/2021 19:00,BTC/USD,51035.8,51098.56,50850,50935.53,101.0071693,5144853.703
1640455200,12/25/2021 18:00,BTC/USD,50782.76,51179.36,50746.68,51031.89,41.775805,2131898.285
1640451600,12/25/2021 17:00,BTC/USD,50644.41,50878.12,50190.9,50797.64,85.93882492,4365489.49
1640448000,12/25/2021 16:00,BTC/USD,50685.88,50805.09,50499.17,50629.2,62.87588908,3183355.963
1640444400,12/25/2021 15:00,BTC/USD,50777.19,50851.79,50666.44,50678.08,13.52337101,685338.4779
1640440800,12/25/2021 14:00,BTC/USD,50886.1,50899.34,50716.43,50769.4,13.62442578,691703.9222
1640437200,12/25/2021 13:00,BTC/USD,50839.79,50945.04,50678.34,50893.12,63.08959252,3210826.203
1640433600,12/25/2021 12:00,BTC/USD,50716.58,50974.13,50716.58,50850.74,10.71106733,544665.6999
1640430000,12/25/2021 11:00,BTC/USD,50680.57,50866,50626.59,50716.58,19.90090832,1009306.009
